"year","month","mean.Avg.Wind","mean.Temp.Max","mean.Temp.Min","mean.Precipitation","mean.DAILY_AQI_VALUE","Date"
2010,"January",1.4641935483871,69.4193548387097,50.8709677419355,0.159354838709677,18.6451612903226,2010-01-01
2010,"February",1.56535714285714,68.5357142857143,51.3571428571429,0.1525,25.7857142857143,2010-02-01
2010,"March",1.68064516129032,72.4193548387097,53.2903225806452,0.0154838709677419,36.4193548387097,2010-03-01
2010,"April",2.311,70.2333333333333,53.4666666666667,0.055,40.3166666666667,2010-04-01
2010,"May",1.90451612903226,73.5806451612903,57.3548387096774,0.00161290322580645,39.4193548387097,2010-05-01
2010,"June",1.588,77.1,62.5666666666667,0,40.9333333333333,2010-06-01
2010,"July",1.48612903225806,79.4193548387097,64.2903225806452,0,39.1612903225806,2010-07-01
2010,"August",1.33428571428571,83.1612903225806,64,0,40.7096774193548,2010-08-01
2010,"September",1.22076923076923,84.2666666666667,63.7333333333333,0,42.6,2010-09-01
2010,"October",1.22645161290323,76.3870967741936,62.258064516129,0.0303225806451613,29.8064516129032,2010-10-01
2010,"November",1.28933333333333,71.5,51,0.0176666666666667,24.3666666666667,2010-11-01
2010,"December",1.4358064516129,66.2903225806452,49.9032258064516,0.33,14.8870967741935,2010-12-01
2011,"January",0.847586206896552,70.0645161290323,48.8064516129032,0.0254838709677419,17.0967741935484,2011-01-01
2011,"February",1.5162962962963,64.9642857142857,46.1785714285714,0.1175,26.6785714285714,2011-02-01
2011,"March",1.71,68.741935483871,50.9354838709677,0.127741935483871,30.1290322580645,2011-03-01
2011,"April",1.81866666666667,72.5666666666667,55.4333333333333,0,39.5,2011-04-01
2011,"May",2.12161290322581,73.6451612903226,56,0.0145161290322581,43.0967741935484,2011-05-01
2011,"June",1.708,74.4666666666667,59,0.000333333333333333,40.4666666666667,2011-06-01
2011,"July",1.48032258064516,80.6774193548387,63.5161290322581,0,39.4193548387097,2011-07-01
2011,"August",1.06161290322581,81.6774193548387,62.7741935483871,0,43.1935483870968,2011-08-01
2011,"September",1.16814814814815,79.1,62,0,44.2666666666667,2011-09-01
2011,"October",0.959032258064516,76.7096774193548,57.3548387096774,0.037741935483871,35.3387096774194,2011-10-01
2011,"November",1.33366666666667,69.2333333333333,51,0.0526666666666667,25.1,2011-11-01
2011,"December",0.959032258064516,65.7096774193548,43.6774193548387,0.0325806451612903,15.3225806451613,2011-12-01
2012,"January",0.749677419354839,70.5806451612903,47.5483870967742,0.0419354838709677,15.6451612903226,2012-01-01
2012,"February",1.35793103448276,67.0689655172414,48.0344827586207,0.00551724137931035,24.3448275862069,2012-02-01
2012,"March",1.78967741935484,67.3225806451613,49.1612903225806,0.0564516129032258,28.3548387096774,2012-03-01
2012,"April",1.939,72.4666666666667,52.7333333333333,0.057,34.8833333333333,2012-04-01
2012,"May",1.76903225806452,73.1935483870968,57.741935483871,0.00032258064516129,37.4193548387097,2012-05-01
2012,"June",1.78233333333333,75.7,60.3,0,40.9,2012-06-01
2012,"July",1.40774193548387,79.4193548387097,61.6129032258064,0.00032258064516129,40.3870967741936,2012-07-01
2012,"August",1.34193548387097,86.3225806451613,66.9032258064516,0,43.4032258064516,2012-08-01
2012,"September",1.12433333333333,86.7333333333333,65.8666666666667,0,58,2012-09-01
2012,"October",1.14896551724138,81.1290322580645,61.1935483870968,0.000645161290322581,41.7258064516129,2012-10-01
2012,"November",1.14,73.0333333333333,53.6333333333333,0.0343333333333333,27.3833333333333,2012-11-01
2012,"December",1.25166666666667,64.258064516129,49.0322580645161,0.0696774193548387,24.1774193548387,2012-12-01
2013,"January",1.45,68.0645161290323,45.258064516129,0.0380645161290323,23.5967741935484,2013-01-01
2013,"February",1.37321428571429,68.0357142857143,46.7857142857143,0.00714285714285714,26.1785714285714,2013-02-01
2013,"March",1.30645161290323,71.5161290322581,52.3870967741936,0.0174193548387097,31.6290322580645,2013-03-01
2013,"April",1.917,72.4,55.5,0,35.6666666666667,2013-04-01
2013,"May",1.89774193548387,76.4838709677419,60.1935483870968,0.0229032258064516,41.741935483871,2013-05-01
2013,"June",1.52133333333333,78,62.5666666666667,0,38.7833333333333,2013-06-01
2013,"July",1.28354838709677,80.7741935483871,64.0322580645161,0.00290322580645161,34.3709677419355,2013-07-01
